21259-20-1 CC(C)CC(=O)O[C@H]1C[C@@]2(COC(=O)C)[C@H](O[C@@H]3[C@H](O)[C@@H](OC(=O)C)[C@@]2(C)[C@]34CO4)C=C1C
115-90-2 CCOP(=S)(OCC)Oc1ccc(cc1)S(=O)C
75-60-5 C[As](=O)(C)[O-]
298-00-0 COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]
75-34-3 CC(Cl)Cl
143-08-8 CCCCCCCCCO
2227-17-0 ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
552-32-9 CC(=O)Nc1ccccc1[N+](=O)[O-]
29091-05-2 CC[NH+](CC)c1c(cc(c(N)c1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
133-06-2 ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
92-87-5 Nc1ccc(cc1)c2ccc(N)cc2
38727-55-8 CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC
1127-76-0 CCc1cccc2ccccc12
108-65-6 COCC(C)OC(=O)C
86-87-3 [O-]C(=O)Cc1cccc2ccccc12
3597-91-9 OCc1ccc(cc1)c2ccccc2
126-75-0 CCOP(=O)(OCC)SCCSCC
116-06-3 CNC(=O)O\N=C\C(C)(C)SC
23184-66-9 CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
610-15-1 NC(=O)c1ccccc1[N+](=O)[O-]
55-38-9 COP(=S)(OC)Oc1ccc(SC)c(C)c1
66-75-1 Oc1ncc(N(CCCl)CCCl)c(O)n1
608-93-5 Clc1cc(Cl)c(Cl)c(Cl)c1Cl
23103-98-2 CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
108-43-0 Oc1cccc(Cl)c1
1912-26-1 CCNc1nc(Cl)nc(n1)N(CC)CC
2212-67-1 CCSC(=O)N1CCCCCC1
50-29-3 Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
1982-49-6 CC1CCCCC1NC(=O)Nc2ccccc2
85-34-7 [O-]C(=O)Cc1c(Cl)ccc(Cl)c1Cl
95-77-2 Oc1ccc(Cl)c(Cl)c1
141-66-2 COP(=O)(OC)O\C(=C\C(=O)N(C)C)\C
939-27-5 CCc1ccc2ccccc2c1
88-30-2 [O-]c1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]
101-99-5 CCOC(=O)Nc1ccccc1
23135-22-0 CNC(=O)O\N=C(/SC)\C(=O)N(C)C
15972-60-8 CCc1cccc(CC)c1N(COC)C(=O)CCl
72-55-9 ClC(=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)Cl
61-82-5 Nc1nc[nH]n1
108-44-1 Cc1cccc(N)c1
100-51-6 OCc1ccccc1
298-04-4 CCOP(=S)(OCC)SCCSCC
76-44-8 ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
103-65-1 CCCc1ccccc1
17804-35-2 CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12
22224-92-6 CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1
51707-55-2 O=C(Nc1ccccc1)Nc2cnns2
95-15-8 c1ccc2sccc2c1
709-98-8 CCC(=O)Nc1ccc(Cl)c(Cl)c1
1982-47-4 CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
19044-88-3 CCC[NH+](CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)[NH-])[N+](=O)[O-]
117-18-0 [O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl
33089-61-1 CN(\C=N\c1ccc(C)cc1C)\C=N\c2ccc(C)cc2C
108-86-1 Brc1ccccc1
122-34-9 CCNc1nc(Cl)nc(NCC)n1
193-39-5 c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56
