CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
000558-37-2,0,-0.26262,-0.485,1,1.5,0.354,0.003356 ,1.938,1,0,3.526,0.493,0,1
000565-69-5,0,-0.25183,-0.623,0,0.526,0.297,0.003356 ,0,0,0,4.517,0.408,0,0
000571-61-9,0,-0.21708,-0.41,0,0.92,0.184,0.003356 ,0,0,0,6.754,0.486,0.088,0
000576-24-9,15.4,-0.25122,0.101,0,0.811,0.222,0.003356 ,0,0,0,2.163,0.665,0,0
000581-89-5,0,-0.25242,-0.034,0,0.187,0.188,0.003356 ,0,0,0,5.536,0.446,0.037,0
000590-18-1,0,-0.24629,-0.331,2,1.5,0.5,0.003356 ,4,0,0,2.067,0.5,0,0
000590-90-9,0,-0.2599,-0.343,0,0.809,0.333,0.003356 ,0,0,0,3.591,0.631,0,0
000591-87-7,0,-0.27876,-0.228,1,0.729,0.284,0.003356 ,1.529,1,0,3.213,0.704,0,0
000592-43-8,0,-0.24608,-0.633,2,1.5,0.319,0.003356 ,4.267,0,0,3.821,0.504,0,0
000592-90-5,0,-0.2548,-0.545,0,0.859,0.25,0.003356 ,0,0,0,5.855,0.343,0,0
000593-79-3,0,-0.21366,-0.178,0,0.866,0,0.003356 ,0,0,0,0,0.408,0,0
000594-82-1,0,-0.3016,-1.071,0,1.625,0.25,0.001195 ,0,0,0,5.337,0.246,0,2
000594-82-1,0,-0.3016,-1.071,0,1.625,0.25,0.001034 ,0,0,0,5.337,0.246,0,2
000598-26-5,0,-0.22378,-0.357,0,0.5,0.408,0.003356 ,0,0,0,1.989,0.562,0,0
000600-14-6,0,-0.25452,-0.416,0,0.505,0.297,0.003356 ,0,0,0,3.534,0.51,0,0
000620-14-4,0,-0.24128,-0.175,0,1.111,0.219,0.003356 ,0,0,0,4.901,0.522,0,0
000623-42-7,0,-0.27999,-0.321,0,0.717,0.296,0.003356 ,0,0,0,3.826,0.522,0,0
000624-91-9,0,-0.28988,0.003,0,0.452,0.5,0.003356 ,0,0,0,1.759,0.823,0,0
000625-46-7,0,-0.29581,-0.157,1,0.212,0.289,0.003356 ,1.25,1,0,2.14,0.72,0,0
000627-13-4,0,-0.32778,-0.327,0,0.323,0.284,0.003356 ,0,0,0,3.686,0.579,0,0
000627-58-7,0,-0.24781,-0.563,0,1.375,0.264,0.003356 ,0,2,0,4.868,0.491,0,0
000628-55-7,0,-0.26033,-0.914,0,0.924,0.26,0.003356 ,0,0,0,6.785,0.326,0.224,0
000629-50-5,0,-0.29497,-1.733,0,1.577,0.271,0.003356 ,0,0,0,10.774,0.206,0.804,0
000637-50-3,0,-0.22501,-0.224,2,1,0.22,0.003356 ,4.12,0,0,4.084,0.52,0.023,0
000677-56-5,54.5,-0.37715,-0.224,0,0.994,0.243,0.003356 ,0,0,0,2.892,0.562,0,2
000683-08-9,0,-0.28589,-0.511,0,1.039,0.232,0.003125 ,0,0,0,8.972,0.449,0,0
000692-49-9,50,-0.3458,-0.219,2,0.919,0.232,0.004545 ,-1.708,0,0,3.015,0.5,0,2
000692-49-9,50,-0.3458,-0.219,2,0.919,0.232,0.003378 ,-1.708,0,0,3.015,0.5,0,2
000693-65-2,0,-0.25571,-1.182,0,0.937,0.276,0.003356 ,0,0,0,8.704,0.296,0.617,0
000756-79-6,0,-0.29024,-0.451,0,1.083,0.319,0.003597 ,0,0,0,6.757,0.492,0,0
000756-79-6,0,-0.29024,-0.451,0,1.083,0.319,0.002874 ,0,0,0,6.757,0.492,0,0
000763-30-4,0,-0.25321,-0.331,1,1.333,0.289,0.003356 ,1.85,2,0,3.08,0.593,0,0
000764-99-8,0,-0.23726,-0.464,2,0.939,0.276,0.003356 ,2.785,2,0,5.316,0.533,0.345,0
000820-69-9,0,-0.27011,-0.397,2,0.505,0.264,0.003356 ,2.505,0,0,4.027,0.577,0,0
000868-85-9,0,-0.30229,-0.111,0,1.112,0.348,0.003378 ,0,0,0,7.365,0.594,0,0
000872-05-9,0,-0.26081,-1.101,1,1.5,0.28,0.003356 ,2.014,1,0,7.305,0.39,0.461,0
000924-43-6,0,-0.32509,-0.425,0,0.307,0.245,0.003356 ,0,0,0,5.226,0.474,0,1
000928-55-2,0,-0.22081,-0.383,2,0.906,0.319,0.003356 ,3.545,0,0,3.071,0.594,0,0
000931-64-6,0,-0.24678,-0.631,2,1.131,0.197,0.003356 ,4.829,0,0,6.512,0.44,0.012,0
001001-26-9,0,-0.24865,-0.559,2,0.804,0.26,0.003356 ,2.588,0,0,5.171,0.572,0,0
001115-15-7,0,-0.24153,-0.168,2,0.357,0.348,0.003610 ,2.653,2,0,3.577,0.529,0,0
001115-15-7,0,-0.24153,-0.168,2,0.357,0.348,0.002865 ,2.653,2,0,3.577,0.529,0,0
001120-97-4,0,-0.25777,-0.449,0,0.878,0.237,0.003356 ,0,0,0,5.646,0.493,0,0
001191-95-3,0,-0.25726,-0.123,0,0.455,0.232,0.003356 ,0,0,0,3.136,0.521,0,0
001476-23-9,0,-0.25601,-0.109,1,0.6,0.319,0.003344 ,1.533,1,0,2.014,0.769,0,0
