CAS #,X1sol/T,Mor13v/T,H050/T,R5v/T,TO..Cl/T,HATS5v/T,RDF035m/T,RCl/T,nCOOR/T,Mor15u/T,RDF90m/T,1/T
150224-15-0,0.025926547,-0.001033037,0,0.000201241,0,0.000667449,0.001485829,0.004796244,0,0.000982727,0,0.003354016
000541-73-1,0.014640282,-0.000134161,0,5.03E-05,0,0.000167701,0.001006205,0.004662083,0,-0.000402482,0,0.003354016
003432-57-3,0.026040584,-0.001022975,0,0.000516519,0,0.001898373,0.001133658,0.004796244,0,0.000647325,0,0.003354016
003432-57-3,0.027420095,-0.001077168,0,0.000543881,0,0.00199894,0.001193714,0.005050327,0,0.000681618,0,0.003531697
003432-57-3,0.026484735,-0.001040423,0,0.000525328,0,0.001930752,0.001152993,0.004878049,0,0.000658366,0,0.003411223
003432-57-3,0.025611084,-0.001006103,0,0.000507999,0,0.001867063,0.00111496,0.004717137,0,0.000636649,0,0.003298697
003432-57-3,0.02479323,-0.000973974,0,0.000491777,0,0.001807441,0.001079355,0.004566502,0,0.000616318,0,0.003193358
003432-57-3,0.024025994,-0.000943834,0,0.000476559,0,0.001751509,0.001045954,0.00442519,0,0.000597246,0,0.003094538
002437-55-0,0.023692772,-0.001355023,0,0.000466208,0,0.001391917,0.001532786,0.004796244,0,0.00037565,0,0.003354016
002437-55-0,0.024947907,-0.001426806,0,0.000490906,0,0.001465654,0.001613986,0.005050327,0,0.00039555,0,0.003531697
002437-55-0,0.024096879,-0.001378134,0,0.00047416,0,0.001415658,0.001558929,0.004878049,0,0.000382057,0,0.003411223
002437-55-0,0.023301996,-0.001332674,0,0.000458519,0,0.001368959,0.001507505,0.004717137,0,0.000369454,0,0.003298697
002437-55-0,0.02255788,-0.001290117,0,0.000443877,0,0.001325243,0.001459365,0.004566502,0,0.000357656,0,0.003193358
002437-55-0,0.021859817,-0.001250193,0,0.000430141,0,0.001284233,0.001414204,0.00442519,0,0.000346588,0,0.003094538
055720-43-9,0.025983565,-0.001073285,0,0.000600369,0,0.002502096,0.001314774,0.004796244,0,0.000432668,0,0.003354016
055720-43-9,0.027360057,-0.001130143,0,0.000632174,0,0.002634646,0.001384425,0.005050327,0,0.000455589,0,0.003531697
055720-43-9,0.026426744,-0.001091591,0,0.000610609,0,0.002544772,0.001337199,0.004878049,0,0.000440048,0,0.003411223
055720-43-9,0.025555006,-0.001055583,0,0.000590467,0,0.002460828,0.001293089,0.004717137,0,0.000425532,0,0.003298697
055720-43-9,0.024738943,-0.001021875,0,0.000571611,0,0.002382245,0.001251796,0.004566502,0,0.000411943,0,0.003193358
055720-43-9,0.023973387,-0.000990252,0,0.000553922,0,0.002308525,0.001213059,0.00442519,0,0.000399195,0,0.003094538
002437-54-9,0.023639108,-0.001224216,0,0.000607077,0,0.002002348,0.001633406,0.004796244,0,0.000486332,0,0.003354016
002437-54-9,0.0248914,-0.001289069,0,0.000639237,0,0.002108423,0.001719936,0.005050327,0,0.000512096,0,0.003531697
002437-54-9,0.024042299,-0.001245096,0,0.000617431,0,0.0020365,0.001661266,0.004878049,0,0.000494627,0,0.003411223
002437-54-9,0.023249217,-0.001204024,0,0.000597064,0,0.001969322,0.001606465,0.004717137,0,0.000478311,0,0.003298697
002437-54-9,0.022506786,-0.001165576,0,0.000577998,0,0.001906435,0.001555165,0.004566502,0,0.000463037,0,0.003193358
002437-54-9,0.021810305,-0.001129506,0,0.000560111,0,0.001847439,0.00150704,0.00442519,0,0.000448708,0,0.003094538
NONE,0.018869696,0.000633909,0,9.73E-05,0,0.000368942,0.009122925,0.00402482,0,-0.00112695,0.006379339,0.003354016
