CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
055250-84-5,2,0,4.2,0.002,0.988,1.023,7.5,5.333,0,1,1,0,0,0
002921-88-2,1,5,10.3,-0.233,1.172,0.59,5.5,2.667,0,0,0,0,0,2
003089-11-0,6,0,14.3,0.151,2.072,0.828,4.5,2.667,0,0,0,2,0,6
000122-34-9,5,1,0,-0.15,1.254,1.434,3,0.667,0,0,0,0,0,0
001919-48-8,3,0,7.1,-0.042,1.058,0.773,4.5,0.667,0,0,0,0,0,0
000083-88-5,4,0,12.8,-0.191,1.111,1.25,7,4.222,0,0,2,0,0,0
000941-69-5,1,0,10,-0.023,0.964,0.845,2,1.556,0,0,2,0,0,0
000504-53-0,0,0,0.9,-0.006,1.514,0.983,1.5,0.667,0,0,0,0,4,0
002885-00-9,0,1,0,-0.056,1.397,0.917,0.5,0.222,0,0,0,0,0,0
000096-50-4,2,1,0,-0.408,0.616,0,1,0.444,0,0,0,1,0,0
000584-79-2,0,0,6.3,0.009,1.242,0.584,6.5,4.667,1,2,1,0,3,0
000483-63-6,1,0,3.1,0.028,1.225,0.877,2.5,2,0,0,1,0,0,0
062717-50-4,0,1,5.9,-0.016,0.837,0,1.5,0.944,0,0,0,0,0,1
026172-55-4,1,2,8.3,-0.039,0.866,0,2.5,1.111,0,0,1,0,0,0
000074-96-4,0,1,0,-0.006,0.699,0,0.5,0,0,0,0,0,0,0
000057-41-0,2,0,6.5,-0.075,0.859,0.972,4,2.667,0,1,1,0,0,0
000110-02-1,0,1,0,0.08,0.667,0,0,0,0,0,0,2,0,0
001197-18-8,1,0,7.7,-0.125,1.288,0.628,2.5,1.333,0,2,1,0,1,0
002416-94-6,0,0,4.5,-0.096,1.075,0,2.5,2,0,0,0,0,0,0
000101-20-2,2,3,3.6,-0.101,0.627,1.149,5,2,0,0,0,0,0,0
010453-86-8,0,0,5.9,0.017,1.151,0.594,6.5,3.778,1,2,1,1,3,0
000527-60-6,0,0,4.5,-0.096,1.075,0,3,1.556,0,0,0,0,0,0
016935-34-5,2,0,10,-0.107,1.39,0,3,1.333,0,0,1,0,0,0
000050-06-6,2,0,10.3,-0.076,1.029,0.682,4.5,2.889,1,0,2,0,0,0
000612-22-6,1,0,10,0.376,1.014,0.418,2,0.667,0,0,0,0,0,0
013987-01-4,0,0,0,-0.077,1.5,1.135,2.5,0.667,0,0,0,0,0,0
025154-52-3,0,0,2.5,-0.064,1.247,1.144,4,1.333,0,0,0,0,0,0
001806-26-4,0,0,2.7,-0.068,1.229,0.932,2,0.889,0,0,0,0,0,0
000090-12-0,0,0,0,0.041,0.868,0,1.5,1.333,0,0,0,0,0,0
028652-72-4,0,0,0,0.036,0.888,0.995,2,1.111,0,0,0,0,0,0
000067-72-1,0,6,0,-0.429,2,0,4.5,2,0,0,0,0,0,0
